PF_ID,DATE,INVESTED_AMOUNT
MFU3de1f779ad8942e2a69b43f7e8f55d23,28-12-2025,2483875.94
MFU3de1f779ad8942e2a69b43f7e8f55d23,17-10-2025,1043947.93
MFU3de1f779ad8942e2a69b43f7e8f55d23,14-01-2026,2483875.94
MFU3de1f779ad8942e2a69b43f7e8f55d23,02-11-2025,1643917.93
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,12-12-2016,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,21-11-2016,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,20-05-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,03-05-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,27-08-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,18-12-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,06-01-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,19-03-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,18-07-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,01-04-2019,12499.99
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,14-05-2019,79999.95
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,20-12-2020,316086.34
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,19-01-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,22-12-2023,11691147.77
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,26-10-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,25-12-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,18-11-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-07-2019,251422.94
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,06-06-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,28-08-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,19-07-2021,536075.4
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,15-02-2023,2221621.29
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,08-11-2023,11141175.25
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,06-02-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,29-04-2019,54999.95
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,08-08-2024,17532302.49
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,17-09-2024,17605492.72
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,12-11-2024,17718607.16
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,24-07-2025,21936790.56
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,31-03-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-02-2021,326085.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,01-10-2021,793251.58
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,04-04-2022,2141625.39
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,02-03-2025,19172898.99
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,27-12-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,21-02-2021,336085.34
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,30-07-2023,6041430.28
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,20-01-2025,18832916.08
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,21-02-2025,19122901.52
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,21-11-2025,26469046.91
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,19-03-2021,366083.84
